user_id,subscription_type,user_journey
315306,Annual,Other-Coupon-Homepage-Courses-Coupon
316287,Annual,Homepage-Pricing-Checkout-Homepage-Pricing-Checkout-Pricing-Checkout-Coupon
316823,Annual,Coupon-Checkout-Coupon
316833,Annual,Other-Log in-Coupon
316976,Annual,Resources center-Courses-Homepage-Career tracks-Coupon
318200,Annual,Homepage-Log in-Checkout
319252,Monthly,Log in-Checkout
319493,Annual,Log in-Coupon
321978,Annual,Coupon
322021,Monthly,Checkout-Homepage-Log in-Checkout
322577,Annual,Homepage-Sign up-Log in-Checkout
323474,Annual,Log in-Coupon
324352,Annual,Other-Log in-Coupon
324442,Monthly,Log in-Checkout
327915,Annual,Other-Coupon-Homepage-Pricing-Log in
328922,Annual,Other
329390,Monthly,Homepage-Sign up-Log in-Homepage-Log in-Checkout
329682,Annual,Homepage-Career tracks-Homepage-Sign up-Homepage-Pricing-Coupon
330072,Monthly,Homepage-Pricing-Courses-Log in-Checkout
330572,Monthly,Homepage-Log in-Checkout
330590,Annual,Log in-Other-Log in-Checkout
331693,Monthly,Checkout
333415,Monthly,Log in-Checkout
334108,Monthly,Checkout-Homepage-Log in-Checkout
335237,Monthly,Log in-Homepage-Log in-Checkout
335407,Monthly,Log in-Checkout
335698,Annual,Checkout
336819,Annual,Sign up-Log in-Checkout
337006,Annual,Log in-Coupon
337895,Monthly,Log in-Checkout
338124,Monthly,Homepage-Log in-Checkout
338181,Annual,Courses-Pricing-Resources center-Courses-Sign up-Log in-Checkout
338212,Annual,Checkout
338632,Monthly,Homepage-Sign up-Log in-Checkout
338845,Annual,Other-Coupon
339582,Annual,Homepage-Log in-Checkout
339958,Monthly,Homepage-Pricing-Sign up-Checkout
341430,Annual,Coupon
342288,Monthly,Coupon
343619,Annual,Homepage-Pricing-Log in-Coupon
344014,Annual,Other-Resources center-Other-Log in-Other-Log in-Checkout
344040,Annual,Coupon
344695,Annual,Log in-Homepage-Log in-Checkout
345171,Monthly,Checkout-Homepage-Pricing-Checkout-Pricing-Sign up-Log in-Other-Log in-Homepage-Pricing-Checkout
345439,Annual,Other-Coupon
345526,Monthly,Checkout-Pricing-Sign up-Checkout
345571,Annual,Coupon-Checkout
346517,Monthly,Courses-Career track certificate-Courses-Pricing-Checkout-Homepage-Sign up-Checkout
346769,Annual,Log in-Homepage-Log in-Checkout
347303,Monthly,Log in-Checkout
347748,Annual,Homepage-Log in-Sign up-Log in-Checkout
349826,Annual,Homepage-Career tracks-Courses-Career tracks-Other-Log in-Checkout
350751,Monthly,Log in-Checkout
351669,Quarterly,Homepage-Log in-Checkout
351796,Annual,Log in-Homepage-Log in-Other
352062,Annual,Other-Checkout-Coupon
352098,Annual,Log in-Checkout
352376,Monthly,Coupon-Checkout
353236,Annual,Log in-Checkout
353669,Monthly,Log in-Checkout
353878,Monthly,Log in-Homepage-Courses-Log in-Checkout
354201,Annual,Homepage-Log in-Checkout
354683,Annual,Homepage-Log in-Coupon
355056,Annual,Resources center-Other-Homepage-Pricing-Coupon
356489,Annual,Checkout-Log in-Checkout
357645,Monthly,Homepage-Log in-Checkout
358019,Annual,Log in-Checkout
360808,Monthly,Pricing-Sign up-Homepage-Pricing-Checkout
361114,Annual,Homepage-Log in-Coupon
361752,Monthly,Homepage-Career track certificate-Pricing-Log in-Pricing-Courses-Sign up-Coupon
362355,Monthly,Log in-Checkout
364433,Annual,Checkout
364769,Monthly,Checkout-Homepage-Log in-Checkout
365370,Annual,Other-Coupon
366045,Annual,Log in-Checkout
366537,Annual,Checkout-Homepage-Sign up-Log in-Checkout
367401,Annual,Coupon-Homepage-Log in-Checkout
367711,Annual,Pricing-Checkout-Homepage-Log in-Coupon
367955,Annual,Homepage-Log in-Checkout
369712,Monthly,Log in-Checkout
369845,Monthly,Homepage-Log in-Homepage-Log in-Checkout
370071,Quarterly,Checkout
371060,Monthly,Homepage-Log in-Homepage-Log in-Coupon
371087,Monthly,Coupon-Log in-Checkout
371779,Annual,Homepage-Pricing-Resources center-Log in-Coupon
376948,Monthly,Log in-Checkout
378467,Annual,Other-Coupon
379140,Annual,Other-Homepage-Pricing-Career track certificate-Sign up-Career track certificate-Coupon
380790,Annual,Checkout-Homepage-Log in-Checkout
381670,Annual,Log in-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Coupon
384062,Annual,Log in-Coupon
387096,Annual,Log in-Homepage-Log in-Coupon
387813,Annual,Log in-Homepage-Log in-Coupon
389689,Annual,Other-Coupon
391783,Annual,Log in-Homepage-Pricing-Career track certificate-Sign up-Checkout
392228,Annual,Homepage-Course certificate-Log in-Checkout
392235,Annual,Checkout-Coupon
392285,Monthly,Homepage-Pricing-Checkout
393904,Annual,Log in-Coupon
394304,Annual,Log in-Checkout
394696,Monthly,Sign up-Homepage-Log in-Checkout
395521,Annual,Checkout-Log in-Checkout
396099,Annual,Career tracks-Log in-Homepage-Log in-Checkout
396791,Annual,Other-Log in-Checkout
397234,Monthly,Log in
397395,Annual,Coupon-Homepage-Career tracks-Pricing-Checkout-Pricing-Checkout
398805,Monthly,Log in-Checkout
399029,Monthly,Homepage-Pricing-Log in-Pricing-Log in
401176,Monthly,Pricing-Checkout
402831,Annual,Log in-Homepage-Sign up-Checkout
